_id_	en	sv	da	nl	fi	de	nb
accountCreatedHeading	Account created	Konto skapat	Konto oprettet	Account gecreëerd	Tili luotu puolivälissä	Konto erstellt	Konto opprettet
accountCreatedBody	Your account has been created.\nYou can login using your username and password	Ditt konto har skapats.\nDu kan logga in med ditt användarnamn och lösenord	Din konto er oprettet.\nDu kan logge ind med dit brugernavn og din adgangskode	Uw account is gecreëerd.\nU kunt inloggen met uw gebruikersnaam en wachtwoord	Tili on luotu.\nVoit kirjautua sisään käyttämällä käyttäjätunnustasi ja salasanaasi	Ihr Konto wurde erstellt.\nSie können sich mit Ihrem Benutzernamen und Passwort anmelden	Kontoen din er opprettet.\nDu kan logge inn ved å bruke ditt brukernavn og passord
browser	Browser	Webbläsare	Browser	Browser	Selain	Browser	Nettleser
backToLogin	Back to Login	Tillbaka till login	Zurück zur Anmeldung	Zurück zur Anmeldung	Takaisin sisäänkirjautumiseen	Zurück zur Anmeldung	Tilbake til innlogging
							
### License							
noLicense	This account has no valid license.	Det här kontot saknar giltig licens. Du kan därför inte logga in.	Problemer med at logge ind!\nDu har ikke en gyldig licens.	Dit account heeft geen geldige licentie.	Tällä tilillä ei ole kelvollista lisenssiä.	Für dieses Konto gibt es keine gültige Lizenz.	Problemer med å logge inn!\nDu har ikke en gyldig lisens.
licenseExpired	License is expired	Licensen har gått ut	Licensen er udløbet	Licentie verlopen	Lisenssi on vanhentunut	Lizenz abgelaufen	Lisensen har utløpt
licenseExpiredMessage	Your license has expired and MEMOplanner Go can no longer be used. Contact your supplier to extend the license.	Licensen har gått ut och Memoplanner kan därför inte längre användas. Kontakta din förskrivare om du vill förlänga licensen.	Licensen er udløbet, og MEMOplanner Go kan ikke længere bruges. Kontakt din bevilgende kontaktperson, hvis du ønsker at forlænge licensen.	De licentie is verlopen en MEMOplanner Go kan niet langer worden gebruikt. Neem contact op met uw aanbieder om de licentie te verlengen.	Lisenssisi on vanhentunut, eikä Memoplanneria voi enää käyttää. Jatka lisenssiä ottamalla yhteyttä jälleenmyyjään.	Ihre Lizenz ist abgelaufen und MEMOplanner Go kann nicht mehr genutzt werden. Wenden Sie sich an Ihre Bezugsquelle, um die Lizenz zu verlängern.	Lisensen er utløpt og MEMOplanner Go kan ikke lenger brukes. Kontakt din forskriver hvis du ønsker å forlenge lisensen.
toLogin	to Log in	till Logga in	til Log ind	naar Inloggen	kirjautumissivulle	zur Anmelden	til Logg inn
							
### Time related							
fullDay	All day	Heldag	Hele dagen	Hele dag	Koko päivä	Ganztägig	Hele dagen
morning	morning	morgon	morgen	ochtend	aamu	frühmorgens	morgen
forenoon	forenoon	förmiddag	formiddag	midden-ochtend	aamupäivän puolivälissä	Vormittag	formiddag
lunch	Lunch	Lunch	Frokost	Lunch	Lounas	Mittagessen	Lunsj
afternoon	afternoon	eftermiddag	eftermiddag	middag	iltapäivä	Nachmittag	ettermiddag
evening	evening	kväll	aften	avond	ilta	Abend	kveld
night	night	natt	nat	nacht	yö	Nacht	natt
today	Today	Idag	I dag	Vandaag	Tänään	Heute	I dag
days	days	dagar	dage	dagen	päivää	Tage	dager
day	day	dag	dag	dag	päivä	Tag	dag
hours	hours	timmar	timer	uur	tunnit	Stunden	timer
hour	hour	timme	time	uur	tunti	Stunde	time
h	h	t	t	u	t	S	t
minutes	minutes	minuter	minutter	minuten	minuuttia	Minuten	minutter
minute	minute	minut	minut	minuut	minuutti	Minute	minutt
seconds	seconds	sekunder	sekunder	seconden	sekuntia	Sekunden	sekunder
second	second	sekund	sekund	seconde	sekunti	Sekunde	sekund
min	min	min	min	min	min	Min	min
am	AM	fm	am	am	am	am	am
pm	PM	em	pm	pm	pm	pm	pm
# https://en.wikipedia.org/wiki/Inessive_case							
dayInessive	&empty&	&empty&	&empty&	&empty&	päivässä	&empty&	&empty&
hourInessive	&empty&	&empty&	&empty&	&empty&	tunnissa	&empty&	&empty&
minuteInessive	&empty&	&empty&	&empty&	&empty&	minuutissa	&empty&	&empty&
now	Now	Nu	Nu	Nu	Nyt	Jetzt	Nå
week	week	vecka	uge	week	viikko	Woche	uke
month	Month	Månad	Måned	Maand	Kuukausi	Monat	Måned
clockTheTimeIsTts	the time is %s	Klockan är %s	Klokken er %s	De tijd is %s	Kello on %s	Die Uhrzeit ist %s	Klokken er %s
clockFiveMinutesPastTts	five past %s	Fem minuter över %s	Fem minutter over %s	vijf over %s	viisi yli %s	5 Minuten nach %s	Fem over %s
clockFiveMinutesHalfPastTts	twenty five to %s	Fem över halv %s	Fem over halv %s	vijfentwintig voor %s	kaksikymmentäviisi vaille %s	25 Minuten vor %s	Fem over halv %s
clockFiveMinutesToTts	five to %s	Fem minuter i %s	Fem minutter i %s	vijf voor %s	viisi vaille %s	5 Minuten vor %s	Fem på %s
clockFiveMinutesToHalfPastTts	twenty five past %s	Fem i halv %s	Fem i halv %s	vijfentwintig over %s	kaksikymmentäviisi yli %s	25 Minuten nach %s	Fem på halv %s
clockHalfPastTts	Half past %s	Halv %s	Halv %s	Dertig over %s	%s kolmekymmentä	30 Minuten nach %s	Halv %s
clockQuarterPastTts	quarter past %s	Kvart över %s	Kvart over %s	kwart over %s	viisitoista yli %s	15 Minuten nach %s	Kvart over %s
clockQuarterToTts	Quarter to %s	Kvart i %s	Kvart i %s	Kwart voor %s	Viisitoista vaille %s	15 Minuten vor %s	Kvart på %s
clockTenMinutesPastTts	ten past %s	Tio minuter över %s	Ti minutter over %s	tien over %s	kymmenen yli %s	10 Minuten nach %s	Ti over %s
clockTenMinutesToTts	ten to %s	Tio minuter i %s	Ti minutter i %s	tien voor %s	kymmentä vaille %s	10 Minuten vor %s	Ti på %s
clockTwentyMinutesPastTts	twenty past %s	Tjugo minuter över %s	Tyve minutter over %s	twintig over %s	kaksikymmentä yli %s	20 Minuten nach %s	Ti på halv %s
clockTwentyMinutesToTts	twenty to %s	Tjugo minuter i %s	Tyve minutter i %s	tien over half %s	kaksikymmentä vaille %s	20 Minuten vor %s	Ti over halv %s
nbOneAClock	one o clock	&empty&	&empty&	&empty&	&empty&	&empty&	: ett
timeMorningTts	%s in the early morning	%s på morgonen	%s om morgenen	%s in de ochtend	%s varhain aamulla	%s frühmorgens	%s på morgen
timeForeNoonTts	%s in the mid-morning	%s på förmiddagen	%s om formiddagen	%s halverwege de ochtend	%s aamupäivän puolivälissä	%s vormittags	%s på formiddagen
timeAfternoonTts	%s in the afternoon	%s på eftermiddagen	%s om eftermiddagen	%s 's middags	%s iltapäivällä	%s nachmittags	%s på ettermiddagen
timeEveningTts	%s in the evening	%s på kvällen	%s om aftenen	%s 's avonds	%s illalla	%s nachmittags	%s på kvelden
timeNightTts	%s at night	%s på natten	%s om natten	%s 's nachts	%s yöllä	%s abends	%s på natten
timerInvalidDuration	Duration can not be zero.	Tidslängden kan inte vara noll.	Varigheden kan ikke være nul.	De duur kan niet nul zijn.	Kesto ei voi olla nolla.	Dauer kann nicht Null sein	Varigheten kan ikke være null.
timerDelete	Do you want to delete the timer?	Vill du ta bort timern?					
timerPause	Do you want to pause the timer?	Vill du pausa timern?					
timerResume	Do you want to continue the timer?	Vill du fortsätta timern?					
timerPaused	Paused	Pausad					
pause	Pause	Pausa					
resume	Continue	Fortsätt					
							
### Activity related
activity	Activity	Aktivitet	Aktivitet	Activiteit	Aktiviteetti	Aktivität	Aktivitet
reminders	Reminders	Påminnelser	Påmindelser	Herinneringen	Muistutukset	Erinnerungen	Påminnelser
reminder	Reminder	Påminnelse	Påmindelse	Herinnering	Muistutus	Erinnerung	Påminnelse
alarm	Alarm	Larm	Alarm	Alarm	Hälytys	Alarm	Alarm
endsNow	Ends now	Slutar nu	Ënder nå	Eindigt nu	Päättyy nyt	Endet jetzt	Slutter nå
startsNow	Starts now	Börjar nu	Starter nå	Begint nu	Alkaa nyt	Beginnt jetzt	Starter nå
noActivities	No activities today	Inga aktiviteter idag	Ingen aktiviteter i dag	Geen activiteiten vandaag	Ei toimintaa tänään	Keine Aktivitäten heute	Ingen aktiviteter i dag
left	Left	Vänster	Venstre	Links	Vasen	Links	Venstre
right	Right	Höger	Højre	Rechts	Oikea	Rechts	Høyre
check	Check	Kvittera	Kvittere	Afvinken	Tarkista	Kontrollieren	Kvittere
undo	Undo	Ångra	Fortryd	Ongedaan maken	Peruuta	Rückgängig	Angre
fromBasicActivity	From basic activity	Från basaktivitet	Fra standardaktivitet	Uit standaardactiviteit	Perusaktiviteetista	Von Standardaktivität	Fra standardaktivitet
createActivity	New activity	Ny aktivitet	Ny aktivitet	Nieuwe activiteit	Uusi aktiviteetti	Neue Aktivität	Ny aktivitet
selectBasicActivity	Select basic activity	Välj basaktivitet	Vælg standardaktivitet	Standaardactiviteit selecteren	Valitse perusaktiviteetti	Standardaktivität auswählen	Velg standardaktivitet
deleteActivity	Do you want to delete this activity?	Är du säker på att du vill ta bort aktiviteten?	Er du sikker på, at du vil slette aktiviteten?	Wilt u deze activiteit verwijderen?	Haluatko poistaa tämän aktiviteetin?	Möchten Sie diese Aktivität löschen?	Er du sikker på at du vil slette aktiviteten?
editRecurringActivity	Edit recurring activity	Ändra återkommande aktivitet	Ændre gentagende aktivitet	Terugkerende activiteit bewerken	Muokkaa toistuvaa aktiviteettia	Wiederkehrende Aktivität bearbeiten	Endre gjentakende aktivitet
deleteRecurringActivity	Delete recurring activity	Ta bort återkommande aktivitet	Slet gentagende aktivitet	Terugkerende activiteit verwijder	Poista toistuva aktiviteettia	Wiederkehrende Aktivitäten löschen	Slett gjentakende aktivitet
onlyThisDay	Only this day	Endast denna dag	Kun denne dag	Alleen deze dag	Vain tänä päivänä	Nur an diesem Tag	Bare denne dagen
allDays	All days	Alla dagar	Alle dage	Alle dagen	Kaikki päivät	Alle Tage	Alle dager
thisDayAndForward	This day and forward	Denna dag och framåt	Denne dag og frem	Deze dag en verder	Tästä päivästä lähtien	Von diesem Tag an	Denne dagen og fremover
checkActivityQuestion	Completed?	Klar?	Færdig?	Afgerond?	Valmis?	Bist Du fertig?	Ferdig?
unCheckActivityQuestion	Do you want to uncheck the activity?	Vill du ångra kvitteringen av aktiviteten?	Vil du fjerne markeringen af aktiviteten?	Wilt u de activiteit uitvinken?	Haluatko poistaa valinnan aktiviteetista?	Möchten Sie die Auswahl rückgängig machen?	Vil du fjerne merket for aktiviteten?
inTimePre	in	om	om	in	&empty&	in	om
timeAgoPre	&empty&	för	for	&empty&	&empty&	vor	for
timeAgoPost	ago	sen	siden	geleden	sitten	&empty&	siden
checklistDoneInfo	All checklist tasks in your activity are completed. Do you want to complete the activity?	Alla uppgifter är avklarade. Vill du klarmarkera aktiviteten?	Alle oppgaver er afsluttet.  Vil du merke aktiviteten som færdig?	Alle checklisttaken in uw activiteit zijn voltooid. Wil je de activiteit afmaken?	Kaikki aktiviteettisi tarkistusluettelotehtävät on suoritettu. Haluatko suorittaa toiminnon loppuun?	Alle Checklistenaufgaben in Ihrer Aktivität sind abgeschlossen. Möchten Sie die Aktivität abschließen?	Alle oppgavene er utført.  Vil du merke aktiviteten som ferdig?
basicTemplates	Basic templates						
basicActivities	Basic activities	Basaktiviteter	Standardaktiviteter	Standaard activiteiten	Perusaktiviteetit	Standardaktivitäten	Standardaktiviteter
newBasicActivity	New basic activity	Ny basaktivitet	Ny standardaktivitet	Nieuwe standaardactiviteit	Uusi perusaktiviteetti	Neue Standardaktivität	Ny standardaktivitet
editBasicActivity	Edit basic activity	Ändra basaktivitet	Rediger standardaktivitet	Standaardactiviteit bewerken	Muokkaa perusaktiviteettia	Standardaktivität bearbeiten	Endre standardaktivitet
enterNameForBasicActivity	Enter name for basic activity						
timeTo	to	till	til	tot	-	bis	til
							
### Timer related
addTimer	Add Timer
start	Start	Starta	Start	Begin	Alkaa	Anfang	Start
newTimer	New timer	Ny timer	Ny timer	Nieuwe timer	Uusi ajastin	Neuer Timer	Ny timer
selectDuration	Select duration	Välj tidslängd	Angiv varighed	Duur selecteren	Valitse kesto	Dauer auswählen	Angi varighet
startTimer	Start timer	Starta timer	Start timeren	Start timer	Käynnistysajastin	Timer starten	Start timer
enterNameForTimer	Enter name for timer	Ange namn för timer					
fromBasicTimer	From basic timer	Från bastimers	Fra standardtimer	Uit standaardtimers	Perusajastimesta	Von Standardtimer	Fra standardtimere
noBasicTimers	You have no basic timers	Du har inga bastimers	Du har ingen standardtimer	Je hebt geen standaardtimers	Sinulla ei ole perusajastimia	Sie haben keine Standardtimer	Du har ingen standardtimere
selectBaseTimer	Select basic timer	Välj bastimer	Vælg bastimer	Standaardtimers selecteren	Valitse perusajastin	Standardtimer auswählen	Velg standardtimere
timer	Timer	Timer	Timer	Tijdopnemer	Ajastin	Timer	Tidtaker
timeIsUp	Time is up	Tiden är slut					
basicTimers	Basic timers	Bastimers	Standardtimers	Standaard timers	Perusajastimet	Standardtimer	Standardtimere
							
### Miscellaneous							
menu	Menu	Meny	Menu	Menu	Valikko	Menü	Meny
cancel	Cancel	Avbryt	Annuller	Annuleren	Peruuta	Abbrechen	Avbryt
yes	Yes	Ja	Ja	Ja	Joo	Ja	Ja
no	No	Nej	Nej	Nee	Ei	Nein	Nei
close	Close	Stäng	Tæt	Dichtbij	Kiinni	Schließen	Lukk
back	Previous	Tillbaka	Tilbage	Terug	Takaisin	Zurück	Tilbake
next	Next	Nästa	Næste	Volgende	Seuraava	Nächster	Neste
ok	OK	OK	OK	OK	OK	OK	OK
record	Record	Spela in	Indspil	Opnemen	Nauhoita	Aufnahme	Spill inn
							
### Edit activity							
newActivityButton	New	Ny	Ny	Nieuw	Uusi	Neu	Ny
newActivityChoice	New	Helt ny	Helt ny	Nieuw	Uusi	Neu	Helt ny
newActivity	New activity	Ny aktivitet	Ny aktivitet	Nieuw activiteit	Uusi aktiviteettia	Neu Aktivität	Ny aktivitet
editActivity	Edit activity	Ändra aktivitet	Ændre aktivitet	Activiteit bewerken	Muokkaa aktiviteettia	Aktivität bearbeiten	Endre aktivitet
category	Category	Kategori	Kategori	Categorie	Kategoria	Kategorie	Kategori
checkable	Checkable	Kvitterbar	Kvitterbar	Afvinkbaar	Tarkistettava	Kontrollabfrage	Kvitterbar
notCheckable	Not checkable	Inte kvitterbar	Ikke kvitterbar	Niet afvinkbaar	Ei-tarkistettava	Nicht kontrollabfrage	Ikke kvitterbar
deleteAfter	Remove at the end of the day	Ta bort vid slutet av dagen	Fjern i slutningen af dagen	Aan het einde van de dag verwijderen	Poista päivän päätteeksi	am Endes des Tages löschen	Fjern på slutten av dagen
dontDeleteAfter	Don't remove at the end of the day	Ta inte bort vid slutet av dagen	Fjern ikke ved slutningen af ​​dagen	Niet verwijderen aan het einde van de dag	Älä poista päivän päätteeksi	Nicht am Ende des Tages entfernen	Ikke fjern på slutten av dagen
name	Name	Namn	Navn	Naam	Nimi	Name	Navn
picture	Image	Bild	Billede	Afbeelding	Kuva	Bild	Bilde
date	Date	Datum	Dato	Datum	Päivämäärä	Datum	Dato
startTime	Start time	Starttid	Starttid	Starttijd	Aloitusaika	Startzeit	Starttid
endTime	End time	Sluttid	Sluttid	Eindtijd	Päättymisaika	Endezeit	Sluttid
emptyFolder	The folder is empty	Mappen är tom	Mappen er tom	De map is leeg	Kansio on tyhjä	Der Ordner leer ist	Mappen er tom
noBasicActivities	You have no basic activities	Du har inga basaktiviteter	Du har ingen standardaktiviteter	Je hebt geen standaardactiviteiten	Sinulla ei ole perusaktiviteettit	Sie haben keine Standardaktivitäten	Du har ingen standardaktiviteter
noChecklists	You have no checklists	Du har inga checklistor	Du har ingen tjeklister	Je hebt geen checklists	Sinulla ei ole tarkistuslistoja	Sie haben keine Checklisten	Du har ingen sjekklister
noNotes	You have no notes	Du har inga anteckningar	Du har ingen noter	Je hebt geen aantekeningen	Sinulla ei ole muistiinpanoja	Sie haben keine Notizen	Du har ingen notater
noImages	You have no images	Du har inga bilder	Du har ingen billeder	Je hebt geen afbeeldingen	Sinulla ei ole kuvia	Sie haben keine Bilder	Du har ingen bilder
setTime	Set time	Välj tid	Vælg tid	Tijd instellen	Aseta aika	Zeit einstellen	Velg tid
time	Time	Tid	Tid	Tijd	Aika	Zeit	Tid
save	Save	Spara	Gem	Opslaan	Tallenna	Speichern	Lagre
endBeforeStartError	End date can't be before start date	Slutdatum kan inte vara före startdatum	Slutdato kan ikke være før startdato	Einddatum mag niet voor startdatum liggen	Päättymispäivä ei voi olla ennen alkamispäivää	Das Enddatum kann nicht vor dem Startdatum liegen	Sluttdato kan ikke være før startdato
speech	Speech	Tal	Tale	Spraak	Puhe	Ansagen	Tale
speechOnStart	Speech at Start time	Tal vid starttid	Tale ved starttid	Spraak op starttijd	Puhe aloitusaikaan	Ansage zum Startzeitpunkt	Tale ved starttid
speechOnEnd	Speech at End time	Tal vid sluttid	Tale ved sluttid	Spraak op eindtijd	Puhe päättymisaikaan	Ansage zum Endzeitpunkt	Tale ved sluttid
duration	Duration	Tidslängd	Tidslængde	Duur	Kesto	Dauer	Varighet
stop	Stop	Stopp	Stop	Stoppen	Pysäytä	Stopp	Stopp
play	Play	Lyssna	Afspel	Afspelen	Toista	Wiedergabe	Spill av
enterNameForActivity	Enter name for activity	Skriv in namn för aktivitet	Indtast navn på aktiviteten	Voer naam voor activiteit in	Anna aktiviteetille nimi	Name für Aktivität eingeben	Skriv inn navnet på aktiviteten
							
### Errors & warnings							
error	Error	Fel	Fejl	Fout	Virhe	Error	Feil
warning	Warning	Varning	Advarsel	Waarschuwing	Varoitus	Warnung	Advarsel
missingTitleOrImageAndStartTime	Your activity should contain an image or name and start time.	Aktiviteten måste ha ett namn eller en bild och en starttid.	Aktiviteten skal have et navn eller et billede og et starttidspunkt.	Je activiteit moet een afbeelding of naam en starttijd bevatten.	Toimintasi tulisi sisältää kuva tai nimi ja aloitusaika.	Ihre Aktivität sollte ein Bild oder einen Namen und eine Startzeit enthalten.	Aktiviteten må ha et navn ellet et bilde og en starttid.
missingTitleOrImage	An activity needs an image or a name.	En aktivitet måste ha antingen en bild eller ett namn.	En aktivitet skal have enten et billede eller et navn.	Deze activiteit heeft een afbeelding of een naam nodig.	Tämä aktiviteetti tarvitsee kuvan tai nimen.	Diese Aktivität braucht ein Bild oder einen Namen.	En aktivitet må ha enten et bilde eller et navn.
missingStartTime	You must enter a start time.	Du måste ange en starttid.	Du skal angive en starttid.	U moet een starttijd instellen.	Anna aloitusaika.	Sie müssen eine Startzeit eingeben:	En aktivitet må ha en starttid.
startTimeBeforeNowError	You have selected a start time which has already passed. This is not allowed.	Du har valt en starttid som är före aktuell tid. Det är inte tillåtet.	Starttiden er allerede passeret. Det er ikke tilladt.	U heeft een starttijd geselecteerd die al voorbij is. Dit is niet toegestaan.	Valitsit aloitusajan, joka on jo mennyt. Tätä ei sallita.	Die gewählte Startzeit liegt in der Vergangenheit. Dies ist nicht zulässig.	Starttiden er allerede passert. Det er ikke tillatt.
startTimeBeforeNowWarning	You have selected a start time which has already passed. Press OK to continue.	Du har valt en starttid som är före aktuell tid. Tryck ok om du vill fortsätta.	Starttiden er allerede passeret. Tryk på OK for at fortsætte.	U heeft een starttijd geselecteerd die al voorbij is. Druk op OK om door te gaan.	Valitsit aloitusajan, joka on jo mennyt. Jatka painamalla OK.	Die gewählte Startzeit liegt in der Vergangenheit. Drücken Sie auf OK, um fortzufahren.	Starttiden er allerede passert. Trykk på OK for å fortsette.
